repunit	repunit_scenario	iter	true_repprop	reprop_posterior_mean	repu_n
Mar_Apr	All-Mar_Apr	79	1	0.96436793705224	48
Mar_Apr	All-Mar_Apr	80	1	0.949933560109209	48
Mar_Apr	All-Mar_Apr	81	1	0.958405529248736	48
Mar_Apr	All-Mar_Apr	82	1	0.953345173948904	48
Mar_Apr	All-Mar_Apr	83	1	0.97516491339314	48
Mar_Apr	All-Mar_Apr	84	1	0.982742218867724	48
Mar_Apr	All-Mar_Apr	85	1	0.884783257458925	48
Mar_Apr	All-Mar_Apr	86	1	0.946887676117046	48
Mar_Apr	All-Mar_Apr	87	1	0.974286068032	48
Mar_Apr	All-Mar_Apr	88	1	0.97171916266981	48
Mar_Apr	All-Mar_Apr	89	1	0.978186279030813	48
Mar_Apr	All-Mar_Apr	90	1	0.944977683022583	48
Mar_Apr	All-Mar_Apr	91	1	0.954967663814253	48
Mar_Apr	All-Mar_Apr	92	1	0.968752022836202	48
Mar_Apr	All-Mar_Apr	93	1	0.981884502453452	48
Mar_Apr	All-Mar_Apr	94	1	0.970442094834254	48
Mar_Apr	All-Mar_Apr	95	1	0.956583806495872	48
Mar_Apr	All-Mar_Apr	96	1	0.972506454351708	48
Mar_Apr	All-Mar_Apr	97	1	0.958810821381823	48
Mar_Apr	All-Mar_Apr	99	1	0.960558063180564	48
Mar_Apr	All-Mar_Apr	100	1	0.95968912781791	48
May_Jun	All-May_Jun	1	1	0.98407681978559	48
May_Jun	All-May_Jun	2	1	0.984199802631655	48
May_Jun	All-May_Jun	3	1	0.983869091230008	48
May_Jun	All-May_Jun	4	1	0.982674884180876	48
May_Jun	All-May_Jun	5	1	0.982846661082494	48
May_Jun	All-May_Jun	6	1	0.98280513093169	48
May_Jun	All-May_Jun	7	1	0.983391765372512	48
May_Jun	All-May_Jun	9	1	0.982765151353664	48
May_Jun	All-May_Jun	10	1	0.984277009540737	48
May_Jun	All-May_Jun	11	1	0.982960349540653	48
May_Jun	All-May_Jun	13	1	0.982609980210662	48
May_Jun	All-May_Jun	14	1	0.982543225322722	48
May_Jun	All-May_Jun	15	1	0.983540579740455	48
May_Jun	All-May_Jun	16	1	0.98344248211699	48
May_Jun	All-May_Jun	17	1	0.984167774456616	48
May_Jun	All-May_Jun	18	1	0.983685990304342	48
May_Jun	All-May_Jun	20	1	0.983644060600171	48
May_Jun	All-May_Jun	21	1	0.983971863495608	48
May_Jun	All-May_Jun	22	1	0.984162819630585	48
May_Jun	All-May_Jun	23	1	0.982758987450527	48
May_Jun	All-May_Jun	24	1	0.983697556834052	48
May_Jun	All-May_Jun	25	1	0.983545665503255	48
May_Jun	All-May_Jun	26	1	0.982338117961618	48
May_Jun	All-May_Jun	27	1	0.983795033123995	48
May_Jun	All-May_Jun	28	1	0.982550708133271	48
May_Jun	All-May_Jun	29	1	0.983957670977569	48
May_Jun	All-May_Jun	30	1	0.98326004966494	48
May_Jun	All-May_Jun	32	1	0.983731017374759	48
May_Jun	All-May_Jun	33	1	0.98319628443576	48
May_Jun	All-May_Jun	34	1	0.982091217036871	48
May_Jun	All-May_Jun	35	1	0.984241801576402	48
May_Jun	All-May_Jun	36	1	0.983936957046483	48
May_Jun	All-May_Jun	38	1	0.983642375129076	48
May_Jun	All-May_Jun	40	1	0.983408246165707	48
May_Jun	All-May_Jun	42	1	0.98337581495031	48
May_Jun	All-May_Jun	43	1	0.983200425623194	48
May_Jun	All-May_Jun	45	1	0.982997481644154	48
May_Jun	All-May_Jun	46	1	0.98384879356598	48
May_Jun	All-May_Jun	48	1	0.983247164474332	48
May_Jun	All-May_Jun	49	1	0.9821824763933	48
May_Jun	All-May_Jun	50	1	0.982145486572481	48
May_Jun	All-May_Jun	53	1	0.982903162123449	48
May_Jun	All-May_Jun	54	1	0.983568073293304	48
May_Jun	All-May_Jun	55	1	0.98361367360166	48
May_Jun	All-May_Jun	56	1	0.983666796718548	48
